Order	SMPL0	SMPL1	SMPL10	SMPL11	SMPL12	SMPL13	SMPL14	SMPL15	SMPL16	SMPL17	SMPL18	SMPL19	SMPL2	SMPL20	SMPL21	SMPL22	SMPL23	SMPL24	SMPL25	SMPL26	SMPL27	SMPL28	SMPL29	SMPL3	SMPL30	SMPL31	SMPL32	SMPL33	SMPL34	SMPL35	SMPL36	SMPL37	SMPL38	SMPL39	SMPL4	SMPL40	SMPL41	SMPL42	SMPL43	SMPL44	SMPL45	SMPL46	SMPL47	SMPL48	SMPL49	SMPL5	SMPL50	SMPL51	SMPL52	SMPL53	SMPL54	SMPL55	SMPL56	SMPL57	SMPL58	SMPL59	SMPL6	SMPL7	SMPL8	SMPL9
Bacteria;Firmicutes;Bacilli;Acholeplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3525	0	0	0
Bacteria;Firmicutes;Bacilli;Bacillales	0	0	0	0	0	0	0	0	0	16	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Bacteria;Firmicutes;Bacilli;Erysipelotrichales	1846	809	0	0	1138	570	75	596	2615	0	35	0	1728	0	533	500	0	1	3	1061	23799	1901	215	94	3	4747	54	41905	4516	66	5696	15954	3035	1333	35	277	2	79	5831	190	123	676	93	8580	7695	66	245	6132	90	1180	657	2130	13174	110	341	593	28	933	15	619
Bacteria;Firmicutes;Bacilli;Izemoplasmatales	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	17	0	36	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
Bacteria;Firmicutes;Bacilli;Lactobacillales	139	133	397	10	210	4226	657	23097	1948	40349	87	9732	23978	28673	12106	51137	2829	64585	6202	3367	3755	7927	301	1508	1	13879	56	5257	14651	917	14254	1124	43982	1436	31169	45	3	18216	6002	71	3070	39438	442	10543	18914	139	5120	106	1981	927	7856	52351	36320	1169	2983	1540	6736	3242	183	223
Bacteria;Firmicutes;Bacilli;RF39	5	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	0	0	0	0	0	0	16	4	0	0	24	0	0	0	5	1	0	0	0	0	0	0	253	6	18	0	0	0	0	0	0	0	0	0	0	0	0	0	0	236	0	0	0	125
Bacteria;Firmicutes;Bacilli;Staphylococcales	0	1	4	2485	2	3	4	1	23	17	0	17	10	14	38	15	1	46	0	1	11	1	0	0	0	1	26	35	0	4	2	3	5	20	136	60	0	17	6	29	0	9	6	0	0	0	2	0	0	3	4	1	12	2	4	0	2	0	3	2
Bacteria;Firmicutes;Clostridia;?	6170	3470	2	12010	2637	1239	700	22320	1476	68	4543	118	11122	0	73	1000	0	56	13447	37635	3268	12212	5569	14195	134	449	571	258	417	10141	262	277	3802	317	10783	956	3	11073	3711	2537	9194	35652	12122	128	9083	15791	3701	6227	17605	7115	11218	5	6057	5521	28382	5792	17674	824	5018	27469
Bacteria;Firmicutes;Clostridia;Christensenellales	47	1895	0	0	0	0	0	220	281	0	178	0	0	0	0	0	0	0	1	0	204	90	140	204	0	75	1067	5	1051	67	72	101	388	0	0	1	0	2	7839	387	3689	0	133	1	122	10	0	1351	4	20	0	0	0	168	1	409	0	247	32	1194
Bacteria;Firmicutes;Clostridia;Clostridia UCG-014	60	97	0	0	0	0	0	23	658	0	0	0	0	0	0	0	0	1	0	0	363	0	176	257	0	0	416	0	585	0	0	0	179	1	0	0	0	0	2851	310	0	0	38	0	0	0	0	0	2	17	0	0	0	0	0	533	0	0	128	302
Bacteria;Firmicutes;Clostridia;Clostridia vadinBB60 group	1	2	0	5	0	0	0	1	84	0	143	0	0	0	0	0	0	0	0	1	13	2	41	0	0	7	52	0	0	1	1	2	41	4	0	0	0	0	862	74	92	0	0	0	7	0	0	1	0	1	0	0	0	11	0	6	0	0	1	29
Bacteria;Firmicutes;Clostridia;Clostridiales	1311	11022	1	26080	120	1863	1566	16059	6477	340	5520	514	2742	61	17862	252	10	4022	2992	3248	2364	7500	1918	3875	0	4892	4258	245	6613	1373	807	1716	1791	469	474	1941	30	611	15313	1548	18112	66	7618	12640	101	10130	15704	668	394	4937	6902	256	65	1093	6096	5533	17909	1917	7403	21807
Bacteria;Firmicutes;Clostridia;Eubacteriales	0	0	0	0	0	0	2	14	1	0	0	0	26	0	0	0	0	0	0	0	9	0	5	0	0	0	0	4	2	0	0	143	0	0	0	0	0	0	26	52	7	0	0	0	1	0	13	0	0	7	0	0	0	4	0	2	0	4	0	0
Bacteria;Firmicutes;Clostridia;Lachnospirales	50112	44744	51	4106	133	97695	34327	24474	8827	732	18181	67	9282	622	46325	1425	2	1717	1101	20994	35350	22179	28570	46009	160	24011	13267	82176	34460	31108	14233	71832	17897	31827	1590	13973	15	21880	24892	15797	36282	1257	41719	35860	38800	28934	16926	17607	47482	33262	32283	3232	52143	22330	35197	35387	48714	20026	76070	50703
